Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Task,ITRC-3432,304233,,Film Fest 2019,ddorobek,ddorobek,Low,Open,,04/Jun/19 11:54 AM,10/Jun/19 10:48 AM,26/Jul/19 12:00 AM
Sub-task,ITRC-3431,304225,285861,1st IL Recording - Edit,achapm26,apypstra,Medium,Closed,Done,04/Jun/19 11:42 AM,04/Jun/19 1:52 PM,
Task,ITRC-3430,303979,,Captivate Updates - Sohail Khan,jlau333,apypstra,Medium,Waiting For Reporter,,03/Jun/19 2:44 PM,10/Jun/19 10:23 AM,
Service Request,ITRC-3425,303084,,Christina Booker - Course Syllabus Design,,jsadle7,Medium,Open,,29/May/19 3:19 PM,30/May/19 11:35 AM,
Task,ITRC-3422,301906,,Post-Production: Edit and Finalize Interview,aquiquer,aquiquer,Medium,Closed,Done,23/May/19 11:53 AM,10/Jun/19 8:40 AM,07/Jun/19 12:00 AM
Task,ITRC-3420,301903,,Pre-Production: Watch Art of Video Interviews Lynda Tutorial,aquiquer,aquiquer,Medium,Closed,Done,23/May/19 11:51 AM,23/May/19 11:57 AM,30/May/19 12:00 AM
Task,ITRC-3419,301902,,Pre-Production: Camera Settings/Lighting Set-Up,aquiquer,aquiquer,Medium,Closed,Done,23/May/19 11:50 AM,23/May/19 11:56 AM,30/May/19 12:00 AM
Sub-task,ITRC-3417,301894,301902,Video Interview,aquiquer,aquiquer,Medium,Closed,Done,23/May/19 11:37 AM,10/Jun/19 8:39 AM,07/Jun/19 12:00 AM
Service Request,ITRC-3416,301871,,UME Style Guide Design,aaladl,apypstra,Medium,Investigating,,23/May/19 11:00 AM,07/Jun/19 11:58 AM,
Sub-task,ITRC-3413,301049,300733,Edit Spring Perspectives 2019,lvelezri,aaladl,Medium,Closed,Done,16/May/19 3:29 PM,10/Jun/19 9:44 AM,
Task,ITRC-3412,300884,,Update ITRC Website,zbaig4,zbaig4,Medium,Closed,Fixed,16/May/19 8:58 AM,16/May/19 3:26 PM,
Service Request,ITRC-3411,300761,,Owl Site Style Guide,aquiquer,aquiquer,Medium,Closed,Done,15/May/19 1:24 PM,04/Jun/19 1:42 PM,29/May/19 12:00 AM
Sub-task,ITRC-3410,300757,300421,Create Interactive Elements Using Storyline and H5P,aquiquer,aquiquer,Medium,Closed,Done,15/May/19 1:20 PM,30/May/19 8:27 AM,29/May/19 12:00 AM
Sub-task,ITRC-3407,300752,300421,Create Infographic,aquiquer,aquiquer,Medium,Closed,Done,15/May/19 1:14 PM,30/May/19 8:27 AM,29/May/19 12:00 AM
Task,ITRC-3406,300733,,Spring Perspectives VIDEO,,gguiccia,Medium,Closed,Done,15/May/19 12:08 PM,28/May/19 9:27 AM,
Sub-task,ITRC-3400,300423,300421,Create Video,aquiquer,aquiquer,Medium,Closed,Done,14/May/19 10:34 AM,30/May/19 8:27 AM,29/May/19 12:00 AM
Task,ITRC-3399,300421,,Owl Project - Noise,aquiquer,aquiquer,Medium,Closed,Done,14/May/19 10:32 AM,30/May/19 8:28 AM,29/May/19 12:00 AM
Task,ITRC-3380,299859,,owl project ,jzhou468,jzhou468,Low,Open,,10/May/19 10:44 AM,10/May/19 10:44 AM,24/May/19 12:00 AM
Task,ITRC-3379,299858,,OWL Project Site - Genre Defining Films,aissar2,aissar2,Medium,Investigating,,10/May/19 10:44 AM,10/May/19 10:52 AM,24/May/19 12:00 AM
Task,ITRC-3378,299857,,Owl project site - Driver's Ed,abaile59,abaile59,Medium,Closed,Done,10/May/19 10:43 AM,30/May/19 1:22 PM,24/May/19 12:00 AM
Task,ITRC-3377,299856,,OWL Project Site - Ableton Live 10,gguiccia,gguiccia,Minor,Closed,Fixed,10/May/19 10:43 AM,16/May/19 11:38 AM,24/May/19 12:00 AM
Task,ITRC-3376,299854,,OWL Project Site - Intro to MMA,lvelezri,lvelezri,Medium,Closed,Done,10/May/19 10:42 AM,07/Jun/19 8:53 AM,24/May/19 12:00 AM
Problem,ITRC-3372,299072,,Courtney Lightboard Filming,aaladl,aaladl,Medium,Closed,Fixed,07/May/19 10:02 AM,07/May/19 10:06 AM,
Problem,ITRC-3371,299065,,Nicole Campbell Lecture Series,,aaladl,Medium,Closed,Fixed,07/May/19 9:50 AM,07/May/19 10:06 AM,
Problem,ITRC-3370,299062,,John Nassichuk Ultracart and Lightboard Videos,aaladl,aaladl,Medium,Closed,Fixed,07/May/19 9:47 AM,07/May/19 10:06 AM,
Task,ITRC-3369,299061,,New Photos for ITRC Website,jroach7,jroach7,Medium,Closed,Fixed,07/May/19 9:45 AM,07/May/19 2:47 PM,
Problem,ITRC-3368,299057,,WALS Instructional Videos Filming ,aaladl,aaladl,Medium,Closed,Fixed,07/May/19 9:40 AM,07/May/19 10:06 AM,
Sub-task,ITRC-3366,298724,296530,Schedule Dr. Battista,,apypstra,Medium,Closed,Done,06/May/19 8:52 AM,03/Jun/19 11:42 AM,
Sub-task,ITRC-3360,297968,294358,Search for Stock Footage,ddorobek,apypstra,Medium,Open,,01/May/19 11:06 AM,08/May/19 11:15 AM,
Sub-task,ITRC-3352,296705,270453,Adding Terms/Glossary,jlau333,rsanchez,Medium,Open,,23/Apr/19 1:40 PM,14/May/19 11:42 AM,07/May/19 12:00 AM
Sub-task,ITRC-3351,296694,270453,Adding Captions,jlau333,rsanchez,High,Open,,23/Apr/19 1:27 PM,14/May/19 11:49 AM,14/Jun/19 12:00 AM
Service Request,ITRC-3347,296530,,J2B Lecture Recording,ddorobek,apypstra,Medium,Open,,22/Apr/19 3:17 PM,03/Jun/19 12:01 PM,
