Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Access),Custom field (Account Number),Custom field (Administered By),Custom field (Administrator Email),Custom field (Administrator Name),Custom field (Applications),Custom field (Approval Status),Custom field (Approvers),Custom field (Audience),Custom field (Backout plan),Custom field (Booking Number),Custom field (Building & Room),Custom field (Business Value),Custom field (CAB),Custom field (CPU),Custom field (Cc Groups),Custom field (Cc Users),Custom field (Cc Users),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Customer Name),Custom field (Customer Request Type),Custom field (Customer User ID),Custom field (Data Classification),Custom field (Database),Custom field (Department/Faculty),Custom field (Directories),Custom field (Directors),Custom field (Disk),Custom field (Email Contact),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (Gigabytes),Custom field (Global Rank),Custom field (Has Database),Custom field (Has Firewall),Custom field (Home Number),Custom field (Impact),Custom field (Impact of failure),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Key Status),Custom field (Memory),Custom field (Network Speed),Custom field (Notification Email),Custom field (Notifications),Custom field (Operating System),Custom field (Operational categorization),Custom field (Oracle Bug/RFE),Custom field (Oracle SR),Custom field (Payment Method),Custom field (Pending reason),Custom field (Probability of failure),Custom field (Product categorization),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Request participants),Custom field (Resources),Custom field (Root cause),Custom field (Satisfaction),Custom field (Severity),Custom field (Source),Custom field (Standard Checks),Custom field (Story Points),Custom field (Testing),Custom field (Urgency),Custom field (VM OS),Custom field (Work Number),Custom field (Workaround),,,,,,,,,,,,,
Film Fest 2019,ITRC-3432,304233,,Task,Open,ITRC,ITRC,software,sfoster9,,Low,,ddorobek,ddorobek,ddorobek,2019-06-04 11:54,2019-06-10 15:12,2019-06-11 10:51,,ITRC Project,,2019-07-26 0:00,0,itrc-project-video,,,,,,,apypstra,ddorobek,gguiccia,rsanchez,zbaig4,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,ddorobek,,,,,,,,ITRC,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i1buy7:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
Drop In - Gradebook Final Grades,ITRC-3367,298835,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2019-05-06 11:43,2019-05-06 11:45,2019-05-06 11:45,2019-05-06 11:44,Support,,,0,gradebook,owl,,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i1az3z:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
Search for Stock Footage,ITRC-3360,297968,294358,Sub-task,Open,ITRC,ITRC,software,sfoster9,,Medium,,ddorobek,apypstra,apypstra,2019-05-01 11:06,2019-05-08 11:15,2019-06-04 9:45,,ITRC Project,,,0,itrc,itrc-project,,,,,,apypstra,ddorobek,,,,,,,,,,,,,,,,,,,,,Default,,08/May/19 11:14 AM;ddorobek;Stock footage links.docx;https://jira.uwo.ca/secure/attachment/37084/Stock+footage+links.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i1atrj:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
J2B Lecture Recording,ITRC-3347,296530,,Service Request,Open,ITRC,ITRC,software,sfoster9,,Medium,,ddorobek,apypstra,apypstra,2019-04-22 15:17,2019-06-11 9:05,2019-06-04 9:45,,ITRC Project,,,0,itrc,itrc-filming,,,,,,apypstra,astew5,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i1akxj:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
Drop In - Answer and answer key are identical but answer is incorrect,ITRC-3343,296273,,Problem,Escalated,ITRC,ITRC,software,sfoster9,,Medium,,ddorobek,ddorobek,ddorobek,2019-04-18 11:33,2019-04-18 12:03,2019-05-06 11:44,,Support,,,0,tests&quizzes,,,,,,,ddorobek,jsadle7,,,,,,,,,,,,,,,,,,,,,Default,OWL-3593,,,,,,,,,,,,,,,,,,,,,jsadle7,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i1ajcf:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
BIO 2290 - Bacterial Cloning Articulate Storyline Module,ITRC-3341,296071,,Task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2019-04-17 11:45,2019-05-23 10:17,2019-05-23 10:17,2019-05-23 10:17,ITRC Project,,2019-05-17 0:00,0,itrc-project-storyline,,,,,,,ddorobek,rsanchez,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,rsanchez,,,,,,,Michelle Belton,,mharris7,,,"Biology, Department of",,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i1ai3r:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
Database Set-up,ITRC-3294,279962,279757,Sub-task,Open,ITRC,ITRC,software,sfoster9,,Medium,,ddorobek,yalshara,yalshara,2019-01-15 16:12,2019-02-11 15:04,2019-05-14 14:58,,ITRC Project,,2019-02-12 0:00,0,,,,,,,,ddorobek,yalshara,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,ddorobek,yalshara,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i17r53:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
Drop In - Student Participation,ITRC-3274,278094,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2019-01-08 11:24,2019-01-08 11:24,2019-06-11 10:56,2019-01-08 11:24,Support,,,0,gradebook,lessons,owl,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i17flz:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
Powtoon - Fabiana Crowley,ITRC-3272,277598,,Service Request,Closed,ITRC,ITRC,software,sfoster9,,Medium,Won't Do,ddorobek,apypstra,apypstra,2019-01-07 9:42,2019-02-15 12:14,2019-06-11 10:56,2019-02-15 12:14,ITRC Project,,,0,itrc,itrc-project,,,,,,apypstra,ddorobek,rsanchez,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i17cjz:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
Drop In - Anonymous Quiz,ITRC-3261,273340,,Service Request,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2018-11-28 11:14,2018-11-28 11:14,2019-06-11 10:56,2018-11-28 11:14,Support,,,0,tests&quizzes,,,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,aculver,,,,,,,,,,,,,,,,,aculver,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,Email only,,,,,,,,,0|i16man:,9.22337E+18,,,,,,,Ping,,No,,,,,,,,,,,,,,,,,
